Postcode,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
DT2,20298.1,6.6,26207.4,8.6,0.057699999999999994,27069.4,8.7,0.052700000000000004,22589.6,7.4,28489.7,9.3,27713.8,9.0,3596.1,1.7,6878.9,2.5,25591.5,8.4,0.07010000000000001,27709.4,8.9,0.07010000000000001
DT3,17388.9,5.9,19969.7,6.7,0.097,19175.6,6.3,0.0878,19918.9,6.6,18803.4,6.3,21725.4,7.2,6106.4,2.5,14690.6,5.2,19659.1,6.4,0.1273,21763.0,7.2,0.11629999999999999
DT4,14839.9,4.9,15187.1,5.2,0.1412,12380.6,4.3,0.1375,15596.1,5.2,10668.8,3.7,14538.8,4.9,20277.5,6.7,15303.2,5.2,14781.1,5.1,0.19160000000000005,18454.7,6.2,0.1445
DT5,13057.5,4.3,14878.4,5.2,0.1455,11763.6,4.2,0.13560000000000003,8804.6,3.1,11628.1,3.8,16977.9,5.8,16874.0,5.7,14834.4,5.0,13260.8,4.6,0.2193,21074.9,6.8,0.12360000000000002
DT6,18828.4,6.3,21884.7,7.3,0.0813,19208.5,6.6,0.08469999999999998,18617.5,6.2,23691.1,7.7,24276.8,8.0,9280.1,3.2,9722.1,3.3,23029.8,7.4,0.09170000000000003,24403.2,7.9,0.09059999999999999
DT7,22544.8,7.3,22190.2,7.3,0.08480000000000001,22396.6,7.4,0.07360000000000001,22419.4,7.4,27936.7,9.2,23573.2,7.9,15085.1,5.1,12322.3,4.1,23312.8,7.8,0.08800000000000001,23031.3,7.4,0.1071
DT8,14552.1,5.1,17703.6,6.1,0.11140000000000001,16031.1,5.4,0.10979999999999998,10885.9,4.0,18840.1,6.0,26129.0,8.3,13837.3,4.8,10688.8,3.8,17631.0,6.1,0.14730000000000001,21516.8,7.1,0.1102
DT9,22308.5,7.4,20457.5,6.7,0.08919999999999999,22620.0,7.2,0.07050000000000001,20467.4,6.7,24285.8,8.1,26180.0,8.5,20476.1,6.7,15465.9,5.2,21182.0,6.9,0.10530000000000002,22509.6,7.4,0.10400000000000001
DY1,9936.6,3.6,8789.8,3.2,0.281,8567.4,3.2,0.21860000000000004,10297.8,3.7,8664.8,3.0,13354.7,4.6,21384.9,6.9,13444.1,4.5,10639.4,3.9,0.3000999999999999,6500.8,2.4,0.329
DY10,13154.3,4.5,14319.9,4.9,0.15199999999999997,14260.3,4.8,0.12560000000000002,13653.7,4.7,17361.8,5.8,13588.2,4.7,9328.7,3.4,11105.6,4.0,15888.4,5.3,0.172,14547.2,4.9,0.20400000000000001
DY11,11757.0,4.0,11653.1,4.1,0.21380000000000005,10709.2,3.8,0.1732,10239.4,3.7,13151.6,4.3,18282.8,6.1,11345.4,4.0,18772.3,6.3,11782.0,4.1,0.26789999999999997,13324.8,4.5,0.22429999999999994
DY12,15670.8,5.4,19164.0,6.5,0.10279999999999997,16810.3,5.6,0.10430000000000002,17727.9,5.9,21272.3,7.2,16801.5,5.7,9017.4,3.4,8474.6,3.0,23012.0,7.6,0.09330000000000001,19234.1,6.4,0.13370000000000004
DY13,16989.6,5.6,16583.7,5.6,0.1242,15011.0,5.0,0.1117,17714.4,5.9,19912.3,6.5,16301.7,5.6,12497.8,4.3,15669.5,5.2,16221.3,5.4,0.16839999999999997,18231.7,5.9,0.1447
DY14,15032.8,5.1,23326.2,7.8,0.0754,23292.2,7.5,0.0695,18650.6,6.2,25935.7,8.6,27353.4,9.0,2084.5,1.3,2186.4,1.2,23921.8,7.6,0.08570000000000003,22853.6,7.6,0.10290000000000002
DY2,5561.2,2.3,4693.6,1.9,0.29,4972.0,2.1,0.2198,4719.0,2.1,6990.2,2.8,12581.3,4.3,21704.3,7.2,5215.9,2.0,4920.1,1.9,0.354,6173.5,2.2,0.31789999999999996
DY3,20562.4,6.8,18782.0,6.2,0.10979999999999998,16695.0,5.5,0.1046,17651.5,5.8,18181.8,5.9,20865.0,6.9,25466.7,8.1,19375.6,6.2,21138.4,6.9,0.11510000000000001,18937.3,6.5,0.1448
DY4,7709.375,2.75,8162.125,2.75,0.2415,7837.75,2.75,0.19575,7388.875,2.625,7263.25,2.5,8464.375,3.125,13833.375,4.75,11193.25,3.875,8889.75,3.125,0.29037500000000005,8417.875,3.0,0.276125
DY5,10039.1,3.6,9621.1,3.4,0.21690000000000004,8941.8,3.1,0.18,7104.3,2.8,10286.7,3.5,15182.3,5.2,19942.3,6.5,11512.9,4.0,8929.5,3.3,0.2812,11083.9,4.0,0.24230000000000002
DY6,22746.2,7.5,21537.4,7.0,0.0913,18519.7,6.3,0.09170000000000002,19374.1,6.3,18585.5,6.0,26886.2,8.7,26246.3,8.5,17453.3,5.7,24332.7,7.8,0.0852,19736.7,6.6,0.1356
DY7,20250.3,6.6,21174.9,6.9,0.0881,21394.0,7.1,0.07899999999999999,20496.0,6.7,25608.8,8.1,22143.4,6.9,11352.4,4.0,12931.3,4.3,23547.4,7.7,0.0877,21431.6,7.0,0.1163
DY8,22598.444444444445,7.222222222222222,20796.88888888889,6.555555555555555,0.09277777777777779,18147.333333333332,6.0,0.09433333333333334,21435.444444444445,7.0,20605.0,6.777777777777778,22940.88888888889,7.444444444444445,25297.0,8.11111111111111,16522.88888888889,5.555555555555555,22114.0,7.222222222222222,0.10244444444444444,20877.666666666668,6.777777777777778,0.12155555555555554
DY9,18167.3,6.0,17295.0,5.9,0.146,16658.0,5.5,0.12460000000000002,18641.3,6.1,18641.9,6.1,20576.0,6.8,18755.9,6.2,12492.8,4.4,20414.8,6.7,0.13720000000000002,17276.8,5.8,0.18070000000000003
E1,5197.4,2.0,5561.0,2.1,0.2677999999999999,11028.1,3.9,0.1478,15139.4,5.1,8064.6,2.8,3894.0,1.7,2399.5,1.3,3095.3,1.5,3042.8,1.3,0.3967,905.7,1.1,0.5674
E10,6318.9,2.3,7376.4,2.8,0.23240000000000002,9548.8,3.3,0.1568,13006.5,4.3,13678.0,4.8,6464.7,2.5,1240.4,1.2,6426.1,2.4,8366.0,3.1,0.2836,4690.5,1.9,0.33629999999999993
E11,14400.2,4.8,15350.7,5.2,0.1468,17733.6,5.9,0.10029999999999999,22015.5,7.3,16566.2,5.6,8055.8,3.0,9162.6,3.3,8258.8,3.1,15966.4,5.4,0.1815,11596.1,4.2,0.24379999999999996
E12,7368.8,2.8,7670.7,3.0,0.22030000000000002,12947.8,4.2,0.1255,12427.3,4.3,14214.1,5.1,4576.5,1.7,1179.0,1.0,7126.9,2.8,8797.9,3.2,0.2698,2234.1,1.3,0.4246
