Postcode,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
AB10,,,,,,,,,,,,,,,,,,,,,,,,
AB11,,,,,,,,,,,,,,,,,,,,,,,,
AB12,,,,,,,,,,,,,,,,,,,,,,,,
AB13,,,,,,,,,,,,,,,,,,,,,,,,
AB14,,,,,,,,,,,,,,,,,,,,,,,,
AB15,,,,,,,,,,,,,,,,,,,,,,,,
AB16,,,,,,,,,,,,,,,,,,,,,,,,
AB21,,,,,,,,,,,,,,,,,,,,,,,,
AB22,,,,,,,,,,,,,,,,,,,,,,,,
AB23,,,,,,,,,,,,,,,,,,,,,,,,
AB24,,,,,,,,,,,,,,,,,,,,,,,,
AB25,,,,,,,,,,,,,,,,,,,,,,,,
AB30,,,,,,,,,,,,,,,,,,,,,,,,
AB31,,,,,,,,,,,,,,,,,,,,,,,,
AB32,,,,,,,,,,,,,,,,,,,,,,,,
AB33,,,,,,,,,,,,,,,,,,,,,,,,
AB34,,,,,,,,,,,,,,,,,,,,,,,,
AB35,,,,,,,,,,,,,,,,,,,,,,,,
AB36,,,,,,,,,,,,,,,,,,,,,,,,
AB37,,,,,,,,,,,,,,,,,,,,,,,,
AB38,,,,,,,,,,,,,,,,,,,,,,,,
AB39,,,,,,,,,,,,,,,,,,,,,,,,
AB41,,,,,,,,,,,,,,,,,,,,,,,,
AB42,,,,,,,,,,,,,,,,,,,,,,,,
AB43,,,,,,,,,,,,,,,,,,,,,,,,
AB44,,,,,,,,,,,,,,,,,,,,,,,,
AB45,,,,,,,,,,,,,,,,,,,,,,,,
AB51,,,,,,,,,,,,,,,,,,,,,,,,
AB52,,,,,,,,,,,,,,,,,,,,,,,,
AB53,,,,,,,,,,,,,,,,,,,,,,,,
AB54,,,,,,,,,,,,,,,,,,,,,,,,
AB55,,,,,,,,,,,,,,,,,,,,,,,,
AB56,,,,,,,,,,,,,,,,,,,,,,,,
AB99,,,,,,,,,,,,,,,,,,,,,,,,
AL1,23040.9,7.5,21115.0,7.1,0.0877,22719.8,7.5,0.0724,31172.3,10.0,23190.6,7.5,16444.5,5.8,23066.5,7.4,7873.7,2.9,24692.7,8.1,0.0758,15521.1,5.1,0.17070000000000002
AL10,19967.3,6.5,19528.2,6.3,0.1062,21525.1,7.1,0.08020000000000001,19454.6,6.4,19675.8,6.7,15595.4,5.4,10684.2,3.6,21763.9,7.3,17141.9,5.7,0.15830000000000002,17513.1,5.9,0.1647
AL2,24873.3,8.1,22275.4,7.3,0.0828,21912.2,7.3,0.076,22487.0,7.2,26201.4,8.5,26224.2,8.5,17042.4,5.7,23049.2,7.6,20890.9,6.7,0.11379999999999998,23740.8,7.8,0.0995
AL3,27634.8,8.8,23776.4,7.8,0.0733,25687.7,8.1,0.0583,26219.8,8.3,28255.0,9.1,25153.4,8.0,21542.4,7.1,23088.9,7.4,24192.0,7.6,0.08449999999999999,22715.7,7.4,0.1068
AL4,27990.5,8.9,28639.5,9.1,0.0446,27426.9,8.7,0.0508,30610.7,9.6,30594.9,9.5,27470.3,8.9,11297.4,3.9,24256.9,7.7,28628.9,9.2,0.0463,28704.1,9.1,0.0633
AL5,31531.875,10.0,29905.75,9.375,0.03275,31558.625,10.0,0.029124999999999998,31890.875,10.0,32278.875,10.0,26702.375,8.5,18026.5,6.0,24757.0,7.875,29139.75,9.125,0.03975000000000001,29815.125,9.25,0.044750000000000005
AL6,28906.88888888889,9.333333333333334,26565.666666666668,8.444444444444445,0.05433333333333334,27607.777777777777,8.88888888888889,0.048,28688.444444444445,9.11111111111111,28274.555555555555,9.222222222222221,24246.88888888889,7.777777777777778,15600.111111111111,5.333333333333333,24795.333333333332,7.888888888888889,26055.222222222223,8.333333333333334,0.06477777777777778,27682.666666666668,8.777777777777779,0.06788888888888889
AL7,21279.6,7.1,18810.9,6.3,0.10510000000000001,18385.8,6.2,0.09240000000000001,18957.0,6.3,18816.0,6.2,23943.1,7.7,13462.9,4.7,28413.9,9.2,19433.4,6.4,0.12300000000000003,20077.2,6.4,0.12940000000000002
AL8,25944.1,8.2,21677.7,7.1,0.0829,22846.6,7.5,0.0675,25334.9,7.9,24487.1,7.8,24487.3,7.9,21172.2,7.0,26401.0,8.4,21756.1,7.3,0.1032,22417.7,7.3,0.1058
AL9,23058.1,7.5,21415.2,7.3,0.09120000000000003,24759.5,8.1,0.06130000000000001,20093.9,6.5,25882.5,8.6,22988.0,7.3,10546.6,3.7,23724.3,8.0,18909.0,6.4,0.15740000000000004,21928.7,7.2,0.11030000000000002
B1,8284.5,2.8,21850.6,7.0,0.10640000000000001,22310.2,7.1,0.0975,20740.8,7.0,11761.8,4.0,7145.0,2.8,571.8,1.0,1040.8,1.2,13215.7,4.6,0.2101,8101.8,2.9,0.3388
B10,1768.7,1.0,1885.3,1.2,0.3561,2517.7,1.2,0.2596,2676.1,1.1,6284.1,2.1,13437.4,4.7,846.3,1.0,3434.1,1.5,6704.7,2.5,0.30550000000000005,235.8,1.0,0.6277
B11,2078.1,1.3,1698.6,1.1,0.3756,3164.0,1.6,0.2524,3945.2,1.5,8571.4,3.1,7637.3,3.1,981.9,1.1,2967.1,1.4,4404.9,1.8,0.3642,780.9,1.0,0.5762999999999999
B12,1069.8,1.0,1168.1,1.1,0.3991,1788.5,1.2,0.29050000000000004,5580.5,2.1,3662.8,1.5,7459.6,2.9,552.8,1.0,4848.6,2.1,2874.8,1.3,0.40380000000000005,266.4,1.0,0.6181000000000001
B13,10749.8,3.8,11522.2,4.2,0.1904,11784.1,3.9,0.1502,23240.9,7.7,10500.3,3.6,9627.0,3.5,8819.1,3.2,4327.3,1.6,15195.0,5.1,0.20400000000000001,9330.1,3.3,0.27349999999999997
B14,7673.6,2.7,7928.4,2.9,0.23420000000000002,8952.9,3.2,0.17250000000000001,14090.8,4.8,7810.1,3.0,9190.1,3.2,10048.1,3.7,5310.7,2.2,8943.3,3.2,0.2778,7190.8,2.8,0.30569999999999997
B15,16929.8,5.8,21784.1,7.1,0.12110000000000001,21862.2,7.1,0.09440000000000001,22880.5,7.3,17957.4,6.0,12836.2,4.5,5086.6,2.4,8698.2,3.3,20494.3,6.8,0.17409999999999998,18667.5,6.2,0.23160000000000003
B16,4349.7,2.0,6279.3,2.5,0.2943,5759.6,2.2,0.22900000000000004,14884.8,5.0,6545.6,2.5,8394.1,3.0,978.2,1.0,2608.9,1.4,8476.6,3.1,0.3309,5156.5,2.1,0.3589
B17,11626.1,4.1,13317.2,4.6,0.15460000000000002,14147.2,4.8,0.12229999999999999,24435.6,8.0,12487.5,4.2,9935.5,3.5,7789.8,3.1,4690.4,2.1,15246.9,5.2,0.18939999999999999,10497.2,3.9,0.24110000000000004
B18,1372.4444444444443,1.1111111111111112,1567.5555555555557,1.0,0.3663333333333333,2269.222222222222,1.2222222222222223,0.26366666666666666,4863.555555555556,1.8888888888888888,2384.3333333333335,1.4444444444444444,4570.555555555556,2.111111111111111,2715.1111111111113,1.4444444444444444,5830.111111111111,2.3333333333333335,2281.0,1.5555555555555556,0.4365555555555556,1548.888888888889,1.0,0.45266666666666666
B19,2193.8,1.3,2394.3,1.4,0.36160000000000003,4164.0,1.7,0.2468,5137.6,2.1,5418.5,2.0,7860.0,2.9,621.7,1.0,4645.6,1.8,2715.9,1.5,0.46119999999999994,2441.9,1.6,0.5492000000000001
B2,6147.8,2.2,15198.8,5.2,0.20739999999999997,15930.0,5.8,0.1768,16018.0,5.2,11424.6,4.2,13150.6,4.6,100.0,1.0,2774.6,1.8,9056.0,3.4,0.282,287.8,1.0,0.5868
B20,7229.5,2.6,7542.3,2.7,0.23339999999999997,8454.7,3.1,0.1709,13409.6,4.7,10860.5,3.9,10644.2,3.7,2869.5,1.3,4994.7,2.1,9045.2,3.2,0.2669,4872.2,2.0,0.3609000000000001
B21,2275.5,1.1,2129.3,1.1,0.34120000000000006,3337.8,1.6,0.2363,4568.3,2.0,6664.5,2.5,5274.1,2.2,2558.5,1.1,3120.0,1.4,3710.1,1.5,0.3763,1190.4,1.1,0.4864
B23,5307.666666666667,2.0,7158.555555555556,2.7777777777777777,0.232,6793.666666666667,2.5555555555555554,0.18744444444444444,8487.0,3.111111111111111,7500.111111111111,2.6666666666666665,8439.111111111111,3.2222222222222223,6133.666666666667,2.4444444444444446,2908.3333333333335,1.4444444444444444,8124.777777777777,2.888888888888889,0.27811111111111114,7064.555555555556,2.6666666666666665,0.3228888888888889
B24,6616.5,2.3,7489.3,2.7,0.2213,6976.9,2.8,0.17550000000000002,10649.9,3.9,6299.7,2.4,10428.2,3.6,6368.2,2.5,6964.5,2.7,9765.2,3.2,0.2532,6575.9,2.6,0.3005
B25,4400.1,1.8,5264.7,2.2,0.26860000000000006,5299.6,2.1,0.20260000000000003,6655.1,2.5,8058.4,3.0,8460.1,3.1,3742.3,1.7,3194.6,1.5,6878.2,2.7,0.3116,5773.9,2.2,0.3255
B26,11520.4,4.1,13891.4,4.6,0.1494,13643.2,4.6,0.1253,12314.7,4.2,12948.4,4.7,10858.9,3.8,8188.3,3.0,5337.3,2.0,14830.5,5.1,0.1803,14043.0,4.9,0.1873
B27,5827.2,2.2,6847.9,2.6,0.24800000000000005,8053.6,2.9,0.1743,10119.6,3.6,6842.4,2.5,4021.1,1.9,6776.0,2.6,3903.3,1.7,8030.3,3.1,0.29500000000000004,6177.8,2.3,0.3319
B28,14902.2,4.9,14166.2,4.9,0.13799999999999998,14545.5,4.9,0.11099999999999999,20602.2,6.9,15795.2,5.2,14792.9,4.9,9230.5,3.4,9447.7,3.2,15570.8,5.3,0.1644,14428.4,5.1,0.1735
B29,8445.0,3.111111111111111,8292.0,3.111111111111111,0.23011111111111113,8642.222222222223,3.0,0.17,16909.88888888889,5.777777777777778,9641.333333333334,3.2222222222222223,6920.888888888889,2.5555555555555554,8393.333333333334,3.0,10292.0,3.6666666666666665,6908.222222222223,2.7777777777777777,0.3372222222222222,12778.222222222223,4.444444444444445,0.21222222222222226
B3,7764.111111111111,2.6666666666666665,17884.0,5.888888888888889,0.1591111111111111,17941.777777777777,6.0,0.14255555555555555,17890.0,6.0,12274.111111111111,4.555555555555555,11984.0,4.111111111111111,542.2222222222222,1.0,2105.5555555555557,1.4444444444444444,9991.666666666666,3.7777777777777777,0.26577777777777783,4599.111111111111,2.111111111111111,0.4032222222222222
B30,10360.6,3.8,11118.5,4.0,0.17240000000000003,10920.8,3.9,0.1396,16422.7,5.5,8956.3,3.3,13961.2,4.7,9086.0,3.5,6975.6,2.5,12073.7,4.2,0.21810000000000002,12531.3,4.2,0.19870000000000002
B31,7926.0,2.9,8994.4,3.4,0.22810000000000002,8027.5,3.0,0.1836,12547.2,4.2,7697.0,2.8,8147.2,3.0,8944.1,3.3,9111.5,3.2,10539.6,3.8,0.2734,9513.5,3.4,0.2684
B32,5548.5,2.1,5308.9,2.1,0.2783,5572.2,2.2,0.2121,8788.8,3.0,6951.0,2.8,7803.5,2.8,5923.1,2.3,9902.8,3.7,4754.3,2.1,0.3669,8057.2,2.8,0.2777
B33,4403.8,1.8,5876.0,2.3,0.2668,5370.0,2.2,0.2092,6272.6,2.3,6023.7,2.3,6056.3,2.2,3715.1,1.7,5494.6,2.2,6760.9,2.6,0.322,7166.6,2.7,0.2972
B34,4977.9,2.0,5150.0,2.0,0.2767,5212.9,2.1,0.2117,6083.4,2.5,7122.2,2.8,7308.6,2.8,7094.2,2.6,7516.5,2.8,5928.6,2.5,0.34349999999999997,6926.2,2.7,0.30579999999999996
B35,2863.3333333333335,1.5555555555555556,3217.4444444444443,1.5555555555555556,0.31633333333333336,3047.1111111111113,1.5555555555555556,0.24822222222222223,1745.7777777777778,1.1111111111111112,3201.1111111111113,1.2222222222222223,19286.777777777777,6.333333333333333,4259.666666666667,1.8888888888888888,10506.111111111111,3.7777777777777777,3706.3333333333335,1.6666666666666667,0.38911111111111113,3888.8888888888887,1.6666666666666667,0.36277777777777775
B36,9304.5,3.4,8384.6,3.1,0.21949999999999997,8968.3,3.3,0.16510000000000002,7788.7,3.0,13282.6,4.4,11360.6,4.1,8492.8,3.1,14937.8,4.9,7952.0,2.9,0.29250000000000004,10593.6,3.8,0.2284
B37,10780.4,3.9,11291.7,4.0,0.19260000000000002,8738.4,3.1,0.17050000000000004,9123.9,3.1,10876.2,4.0,10242.4,3.7,16514.8,5.7,18166.4,6.2,12940.8,4.4,0.23969999999999997,14439.4,4.8,0.18899999999999997
B38,6800.3,2.6,7911.0,2.9,0.27140000000000003,6956.9,2.6,0.21070000000000005,9500.9,3.5,7070.3,2.6,8529.9,3.2,5301.6,2.0,13434.1,4.8,8610.4,3.2,0.3228000000000001,9870.7,3.5,0.2798999999999999
B4,10524.777777777777,3.6666666666666665,27610.0,9.0,0.052777777777777785,30574.777777777777,9.555555555555555,0.028111111111111118,23577.555555555555,7.444444444444445,10218.333333333334,3.4444444444444446,12530.222222222223,4.222222222222222,189.22222222222223,1.0,277.1111111111111,1.0,20006.0,6.555555555555555,0.14088888888888887,134.88888888888889,1.0,0.667888888888889
B40,13113.0,4.2,14881.6,5.0,0.15780000000000005,14193.4,5.0,0.13579999999999998,9952.2,3.4,20489.0,6.8,12925.2,4.2,3746.4,1.4,17554.0,5.8,11999.4,4.2,0.22820000000000001,18764.2,6.0,0.1538
B42,11735.75,4.25,12429.625,4.125,0.15400000000000003,13751.75,4.375,0.11674999999999999,16051.375,5.375,13016.25,4.625,15574.75,5.375,8133.5,3.125,5123.625,2.125,12059.5,4.125,0.20762499999999998,13082.125,4.5,0.205125
B43,13326.9,4.6,13851.1,4.8,0.15789999999999998,12062.3,4.2,0.1362,13959.7,5.0,13520.0,4.7,19714.0,6.5,12596.1,4.4,8606.6,3.1,13719.8,4.9,0.20390000000000005,14710.0,5.0,0.19180000000000003
B44,8605.5,3.2,10635.5,3.7,0.19110000000000002,10615.2,3.8,0.1498,8758.9,3.2,9454.7,3.4,11723.9,4.1,9044.8,3.3,3365.4,1.6,11835.0,4.0,0.23249999999999998,10152.5,3.6,0.24310000000000004
B45,14742.4,5.1,14754.6,5.1,0.1738,13956.2,4.7,0.1402,16288.5,5.4,13906.2,4.6,13093.0,4.5,10242.2,3.7,17695.2,5.9,15255.9,5.2,0.2277,16555.9,5.7,0.16940000000000002
B46,20628.0,6.6,22062.7,7.4,0.07949999999999999,22593.7,7.3,0.0702,19124.8,6.3,23190.1,7.5,15089.0,5.2,16253.9,5.5,12565.0,4.4,22821.0,7.6,0.0901,19689.6,6.5,0.1234
B47,26768.4,8.5,27562.5,8.9,0.056200000000000014,25290.7,8.1,0.0606,25956.1,8.4,26915.7,8.7,14814.7,5.3,22933.2,7.3,20586.9,6.7,28155.8,8.9,0.06290000000000003,26392.7,8.4,0.07979999999999998
B48,22903.0,7.6,22684.8,7.5,0.07549999999999998,22193.0,7.5,0.07110000000000001,25512.2,8.6,23624.8,7.5,22321.2,7.5,8967.8,3.1,18497.1,6.1,21768.0,7.3,0.0978,23073.7,7.7,0.09890000000000002
B49,21762.0,7.3,22141.5,7.3,0.08180000000000001,24488.5,8.0,0.06460000000000002,22489.4,7.4,24049.0,7.7,23639.6,7.6,10355.0,3.6,12596.6,4.4,20673.0,6.8,0.11179999999999998,23543.6,7.8,0.09949999999999998
B5,7438.2,2.8,11461.4,4.1,0.24530000000000002,13085.1,4.5,0.15660000000000002,18503.9,6.0,9060.6,3.4,12576.9,4.3,399.4,1.0,4888.0,2.1,11170.7,4.0,0.32950000000000007,5950.4,2.7,0.45330000000000004
B50,21906.3,7.4,19243.7,6.6,0.101,21997.1,7.0,0.07540000000000001,19259.4,6.5,19847.0,6.4,19955.0,6.5,20407.2,6.5,16946.8,5.7,20864.8,6.7,0.1137,17868.1,5.9,0.14230000000000004
B6,2804.8,1.6,4669.0,2.2,0.35280000000000006,7404.5,2.7,0.23590000000000005,5509.6,2.1,5889.6,2.4,8771.4,3.3,735.2,1.0,3061.8,1.5,3646.8,1.7,0.40910000000000013,818.3,1.0,0.5427
B60,22913.3,7.2,25353.7,8.4,0.0627,23688.3,7.8,0.0656,21805.5,7.1,24615.3,8.0,23578.5,7.7,10144.6,3.7,17517.6,5.8,27183.2,8.6,0.05940000000000001,24456.8,7.9,0.09190000000000001
B61,19357.4,6.4,18628.7,6.1,0.10880000000000001,16407.3,5.4,0.10400000000000001,18300.1,6.1,20469.4,6.6,20058.4,6.8,14545.3,4.9,19005.0,6.1,19443.2,6.5,0.1336,19963.0,6.6,0.12500000000000003
B62,18493.3,6.1,17077.5,5.8,0.1257,15881.9,5.2,0.1095,17154.0,5.6,17070.3,5.6,18509.3,6.1,27237.7,8.6,13805.9,4.6,18040.0,5.9,0.14809999999999998,17411.0,5.7,0.1592
B63,18385.6,6.1,16391.0,5.5,0.13240000000000002,16132.6,5.3,0.10969999999999999,16050.7,5.2,17719.7,5.8,24400.1,7.9,20942.2,6.8,14980.8,5.1,15923.9,5.3,0.17250000000000001,16798.5,5.7,0.1697
B64,8760.1,3.1,7693.9,2.7,0.22469999999999998,8586.2,3.1,0.1628,8683.2,3.3,7188.5,2.7,14719.3,5.0,16693.4,5.6,9016.4,3.1,8923.7,3.2,0.26800000000000007,7194.4,2.8,0.2884
B65,9742.3,3.5,10194.5,3.6,0.19190000000000002,9739.3,3.3,0.15230000000000005,6688.6,2.6,8673.7,3.2,11044.9,3.8,14489.8,4.9,13592.7,4.7,9852.2,3.6,0.26170000000000004,12266.1,4.0,0.20400000000000004
B66,2104.1,1.1,1819.0,1.0,0.36799999999999994,3319.7,1.5,0.2451,2409.7,1.2,2792.3,1.4,11454.1,4.0,4825.9,2.1,8936.9,3.0,4135.2,1.6,0.375,500.1,1.0,0.5541
B67,8237.7,2.9,7224.2,2.8,0.23090000000000002,8361.3,3.0,0.16660000000000003,9499.2,3.4,7381.5,2.7,11836.7,4.2,16726.8,5.5,7963.2,2.9,7894.5,2.7,0.2886,6262.4,2.5,0.3036
B68,11355.3,4.1,10352.7,3.8,0.1881,9881.3,3.4,0.15710000000000002,12056.9,4.2,9860.2,3.6,16322.3,5.3,19565.1,6.4,9379.8,3.3,13094.1,4.6,0.205,9059.7,3.0,0.2531
B69,7637.3,2.8,6780.4,2.4,0.26449999999999996,7948.3,2.8,0.187,6151.0,2.6,8400.5,3.0,13973.0,4.8,12149.8,4.4,11086.8,4.1,6877.7,2.4,0.33530000000000004,7474.9,2.7,0.3059
B7,2518.1,1.4,3494.3,1.8,0.35819999999999996,6056.5,2.4,0.25189999999999996,4643.8,1.7,5135.5,1.9,8968.9,3.3,1070.3,1.0,7643.1,2.8,1903.8,1.0,0.4394,667.6,1.0,0.5501999999999999
B70,3409.4,1.6,4049.5,1.6,0.29259999999999997,4034.0,1.7,0.2253,3310.6,1.3,5213.5,1.9,7196.7,2.7,8964.5,3.4,5124.3,2.1,6051.6,2.2,0.3266,3551.2,1.8,0.3848
B71,6216.4,2.4,6631.4,2.3,0.2431,5985.8,2.3,0.19490000000000002,5868.2,2.1,7764.8,2.9,6444.3,2.6,15023.1,5.0,8120.3,3.0,8196.4,2.9,0.28819999999999996,6723.2,2.5,0.29440000000000005
B72,21467.9,6.9,22971.4,7.2,0.0763,21312.7,7.1,0.07680000000000001,28556.0,9.2,18702.8,6.1,14383.1,4.9,18535.8,6.1,9397.5,3.4,25758.3,8.1,0.07,21364.7,7.0,0.1162
B73,23268.0,7.7,23943.3,7.8,0.07160000000000001,22943.0,7.7,0.07020000000000001,29512.9,9.4,19691.0,6.3,18548.4,6.2,15416.1,5.0,11371.1,3.9,25842.5,8.2,0.0693,21792.7,7.2,0.1125
B74,28680.7,9.3,27311.0,8.8,0.05389999999999999,27074.3,8.7,0.0531,27119.9,8.7,24474.2,7.9,27709.5,8.8,19121.2,6.3,21682.3,7.3,27896.0,9.0,0.054299999999999994,26364.4,8.6,0.0787
B75,21650.8,7.1,20820.6,6.9,0.1018,20831.5,6.7,0.0879,23680.7,7.6,20444.1,6.9,23300.8,7.7,10563.8,4.0,18686.0,6.1,21334.8,7.1,0.1204,20943.1,6.8,0.13189999999999996
B76,24015.1,7.7,25644.1,8.4,0.06309999999999999,23952.1,7.7,0.06760000000000002,24939.2,8.2,23093.3,7.7,21031.7,6.8,10471.6,3.6,16791.9,5.5,26657.8,8.8,0.06520000000000001,23243.0,7.6,0.1036
B77,21382.5,6.9,20497.0,6.8,0.09159999999999999,20455.5,6.9,0.07959999999999999,14634.2,5.0,19736.1,6.3,20545.6,6.7,20860.8,6.8,21076.2,6.8,20613.3,6.6,0.1157,20457.3,6.8,0.1202
B78,21695.9,7.1,21098.0,6.9,0.08980000000000002,19733.2,6.5,0.08470000000000001,17550.6,6.1,20950.2,6.9,21767.8,7.1,16115.6,5.5,20335.3,6.8,21652.8,7.0,0.1048,20251.4,6.7,0.12819999999999998
B79,20557.9,6.7,19934.9,6.4,0.0949,21733.5,7.2,0.0765,18689.9,6.0,20210.4,6.6,21942.2,7.1,11605.9,4.1,18842.3,6.1,20559.5,6.9,0.1163,18121.8,6.2,0.1365
B8,1996.7,1.3,2258.9,1.3,0.35219999999999996,3029.1,1.4,0.258,3321.4,1.7,5416.7,2.0,8303.9,3.0,1544.0,1.1,2996.3,1.5,4495.4,1.7,0.3653,2116.1,1.3,0.4494999999999999
B80,21116.8,7.0,17738.7,6.1,0.1093,19573.1,6.4,0.08480000000000001,17708.2,5.8,19113.3,6.4,20503.8,6.4,24529.9,8.2,19709.9,6.4,19794.7,6.8,0.11739999999999999,17409.1,5.7,0.1489
B9,1542.5,1.0,1723.4,1.0,0.35350000000000004,2158.8,1.0,0.25999999999999995,4377.5,1.6,7100.4,3.0,7528.2,2.9,616.8,1.0,4707.3,1.8,4723.7,2.1,0.34670000000000006,772.8,1.0,0.5111000000000001
B90,27520.75,9.0,25146.375,8.25,0.066625,24437.875,8.0,0.06575,27273.125,8.875,25916.375,8.25,22064.875,7.25,18936.25,6.25,29925.5,9.5,26108.0,8.625,0.07062500000000002,24049.25,8.0,0.09862500000000002
B91,28855.0,9.2,28310.2,9.0,0.046299999999999994,29879.9,9.5,0.040600000000000004,31135.1,10.0,28780.8,9.4,18341.6,6.1,14551.3,5.1,23264.8,7.8,25649.0,8.2,0.07080000000000002,28766.3,9.3,0.06000000000000001
B92,22536.2,7.5,21586.7,7.1,0.0905,23523.3,7.6,0.07410000000000001,22435.0,7.4,23881.3,7.7,16713.6,5.7,12802.4,4.3,20845.8,6.8,22133.9,7.5,0.1061,21390.2,7.1,0.11760000000000001
B93,30153.1,9.4,29031.9,9.1,0.0414,28898.2,9.2,0.0425,31429.8,9.8,29833.8,9.4,27599.4,8.9,19236.6,6.5,26432.7,8.4,29536.9,9.3,0.040600000000000004,28510.2,9.2,0.06210000000000001
B94,26002.1,8.5,28144.1,9.1,0.048499999999999995,29147.3,9.5,0.0437,27886.2,9.1,28388.5,9.1,21396.0,6.9,11315.6,3.8,16081.8,5.3,27501.3,8.7,0.0563,27246.5,8.8,0.07250000000000001
B95,24043.4,8.0,24800.1,7.9,0.06500000000000002,27112.3,8.6,0.0524,25858.7,8.4,24733.0,7.9,24302.0,7.7,12213.2,4.3,12210.2,4.3,25049.9,8.1,0.07390000000000001,25444.4,8.4,0.08349999999999999
B96,24434.2,7.8,28471.8,9.2,0.04580000000000001,29271.4,9.4,0.04240000000000001,26032.2,8.4,25804.2,8.4,26971.2,8.8,11601.2,4.2,15514.4,5.2,29188.0,9.4,0.0442,25041.8,8.0,0.08560000000000001
B97,17267.88888888889,5.555555555555555,18577.666666666668,6.0,0.11711111111111111,18334.444444444445,6.111111111111111,0.09644444444444444,16164.444444444445,5.444444444444445,16002.555555555555,5.555555555555555,17590.666666666668,6.0,8683.0,3.0,19769.555555555555,6.333333333333333,19873.222222222223,6.444444444444445,0.12544444444444444,16169.666666666666,5.555555555555555,0.19122222222222224
B98,11001.5,3.9,11896.0,4.2,0.1891,12153.7,4.2,0.14540000000000003,8744.7,3.2,10224.3,3.6,13890.5,4.6,5044.9,2.1,23527.7,7.6,11800.2,4.2,0.24209999999999998,13261.5,4.6,0.21789999999999998
B99,668.0,1.0,509.0,1.0,0.42400000000000004,324.0,1.0,0.35800000000000004,2242.0,1.0,6747.0,3.0,20551.0,7.0,235.0,1.0,6800.0,3.0,1934.0,1.0,0.43499999999999994,286.0,1.0,0.588
BA1,22415.7,7.3,23035.5,7.5,0.08370000000000001,22798.6,7.5,0.0745,26513.1,8.5,21612.4,7.1,16970.9,5.7,18720.6,6.2,15556.6,5.2,22861.4,7.5,0.1147,22724.6,7.4,0.11980000000000002
BA10,18743.9,6.3,23362.6,7.6,0.0752,25439.7,8.1,0.05920000000000001,19249.1,6.1,27683.2,9.1,28190.4,9.3,5217.3,2.3,7601.3,2.8,23401.5,7.6,0.0886,25913.1,8.7,0.0838
BA11,11737.9,4.2,14926.6,5.1,0.1494,15536.8,5.2,0.11689999999999998,15637.0,5.3,18414.3,6.1,10148.6,3.7,6512.5,2.5,10529.1,3.7,16609.6,5.8,0.1709,16726.5,5.6,0.17239999999999997
BA12,17913.7,5.9,19432.4,6.6,0.09910000000000001,18777.2,6.1,0.0896,16618.7,5.5,21949.2,7.0,20345.1,6.8,9385.3,3.6,15667.6,5.4,18416.6,6.2,0.13140000000000002,22082.4,7.2,0.11099999999999999
BA13,18892.2,6.3,19909.5,6.4,0.1015,18396.3,5.9,0.09390000000000001,14803.1,5.0,22685.6,7.5,20326.8,6.6,6922.6,2.6,21341.5,7.2,18833.9,6.1,0.1345,22514.9,7.4,0.1117
BA14,16140.2,5.4,16332.1,5.5,0.1236,15278.1,5.2,0.1089,12521.1,4.4,19168.8,6.3,13522.4,4.6,12851.8,4.3,20392.9,6.8,15191.8,5.2,0.16929999999999998,20017.7,6.6,0.1332
BA15,24193.8,7.7,21089.7,7.0,0.08779999999999999,18393.3,6.3,0.08909999999999998,24907.4,8.3,25501.6,8.2,20378.9,6.7,26085.5,8.4,19899.8,6.3,22085.0,7.2,0.1008,26384.4,8.8,0.0796
BA16,19416.5,6.3,19276.0,6.6,0.10159999999999998,18620.5,6.1,0.0903,12677.0,4.2,19662.9,6.6,18846.7,6.3,17008.0,5.7,22114.8,7.2,20145.9,6.9,0.11410000000000002,20330.5,6.8,0.12810000000000005
BA2,24457.6,7.8,24548.7,8.0,0.07440000000000001,25867.8,8.3,0.058100000000000006,24011.2,7.7,24211.7,7.8,21559.4,7.1,16343.2,5.5,15168.8,5.2,24831.9,7.8,0.08410000000000001,20840.9,7.0,0.12599999999999997
BA20,15525.444444444445,5.0,16470.333333333332,5.333333333333333,0.13355555555555554,14110.444444444445,4.888888888888889,0.13166666666666668,14667.444444444445,4.666666666666667,11266.111111111111,3.888888888888889,14935.333333333334,5.111111111111111,17741.0,5.888888888888889,13728.111111111111,4.777777777777778,18347.0,6.0,0.15211111111111114,19005.555555555555,6.111111111111111,0.14100000000000001
BA21,12434.888888888889,4.111111111111111,13996.444444444445,4.666666666666667,0.16333333333333336,12265.888888888889,4.444444444444445,0.14177777777777778,10116.222222222223,3.6666666666666665,10776.444444444445,3.6666666666666665,11010.555555555555,3.888888888888889,17307.333333333332,5.777777777777778,15154.333333333334,5.222222222222222,14692.777777777777,5.111111111111111,0.20788888888888885,15560.222222222223,5.333333333333333,0.17333333333333334
